1,PF00069,ref_cyt_b,0.600
2,PF00069,ref_cyt_b,0.800
3,PF00069,ref_cyt_b,0.400
4,PF00069,ref_cyt_b,0.684
5,PF00069,ref_cyt_b,0.556
6,PF00069,ref_cyt_b,0.556
7,PF00069,ref_cyt_b,0.333
8,PF00069,ref_cyt_b,0.714
9,PF00069,ref_cyt_b,0.700
10,PF00069,ref_cyt_b,0.684
11,PF00069,ref_cyt_b,0.765
12,PF00069,ref_cyt_b,0.579
13,PF00069,ref_cyt_b,0.500
14,PF00069,ref_cyt_b,0.579
15,PF00069,ref_cyt_b,0.500
16,PF00069,ref_cyt_b,0.500
17,PF00069,ref_cyt_b,0.579
18,PF00069,ref_cyt_b,0.750
19,PF00069,ref_cyt_b,0.800
20,PF00069,ref_cyt_b,0.444
21,PF00069,ref_cyt_b,0.700
22,PF00069,ref_cyt_b,0.778
23,PF00069,ref_cyt_b,0.600
24,PF00069,ref_cyt_b,0.733
25,PF00069,ref_cyt_b,0.579
26,PF00069,ref_cyt_b,0.600
27,PF00069,ref_cyt_b,0.733
28,PF00069,ref_cyt_b,0.333
29,PF00069,ref_cyt_b,0.684
30,PF00069,ref_cyt_b,0.882
31,PF00069,ref_cyt_b,0.667
32,PF00069,ref_cyt_b,0.600
33,PF00069,ref_cyt_b,0.895
34,PF00069,ref_cyt_b,0.400
35,PF00069,ref_cyt_b,0.467
36,PF00069,ref_cyt_b,0.444
37,PF00069,ref_cyt_b,0.667
38,PF00069,ref_cyt_b,0.500
39,PF00069,ref_cyt_b,0.900
40,PF00069,ref_cyt_b,0.600
41,PF00069,ref_cyt_b,0.400
42,PF00069,ref_cyt_b,0.529
43,PF00069,ref_cyt_b,0.667
44,PF00069,ref_cyt_b,0.867
45,PF00069,ref_cyt_b,0.529
46,PF00069,ref_cyt_b,0.684
47,PF00069,ref_cyt_b,0.579
48,PF00069,ref_cyt_b,0.625
49,PF00069,ref_cyt_b,0.700
50,PF00069,ref_cyt_b,0.667
51,PF00069,ref_cyt_b,0.571
52,PF00069,ref_cyt_b,0.765
53,PF00069,ref_cyt_b,0.684
54,PF00069,ref_cyt_b,0.667
55,PF00069,ref_cyt_b,0.684
56,PF00069,ref_cyt_b,0.700
57,PF00069,ref_cyt_b,0.467
58,PF00069,ref_cyt_b,0.667
59,PF00069,ref_cyt_b,0.667
60,PF00069,ref_cyt_b,0.714
61,PF00069,ref_cyt_b,0.579
62,PF00069,ref_cyt_b,0.765
63,PF00069,ref_cyt_b,0.600
64,PF00069,ref_cyt_b,0.684
65,PF00069,ref_cyt_b,0.294
66,PF00069,ref_cyt_b,0.833
67,PF00069,ref_cyt_b,0.857
68,PF00069,ref_cyt_b,0.474
69,PF00069,ref_cyt_b,0.333
70,PF00069,ref_cyt_b,0.700
71,PF00069,ref_cyt_b,0.625
72,PF00069,ref_cyt_b,0.579
73,PF00069,ref_cyt_b,0.625
74,PF00069,ref_cyt_b,0.579
75,PF00069,ref_cyt_b,0.625
76,PF00069,ref_cyt_b,0.684
77,PF00069,ref_cyt_b,0.368
78,PF00069,ref_cyt_b,0.789
79,PF00069,ref_cyt_b,0.789
80,PF00069,ref_cyt_b,0.579
81,PF00069,ref_cyt_b,0.889
82,PF00069,ref_cyt_b,0.889
83,PF00069,ref_cyt_b,0.889
84,PF00069,ref_cyt_b,0.500
85,PF00069,ref_cyt_b,0.789
86,PF00069,ref_cyt_b,0.684
87,PF00069,ref_cyt_b,0.778
88,PF00069,ref_cyt_b,0.556
89,PF00069,ref_cyt_b,0.882
90,PF00069,ref_cyt_b,0.412
91,PF00069,ref_cyt_b,0.647
92,PF00069,ref_cyt_b,0.647
93,PF00069,ref_cyt_b,0.294
94,PF00069,ref_cyt_b,0.800
95,PF00069,ref_cyt_b,0.789
96,PF00069,ref_cyt_b,0.579
97,PF00069,ref_cyt_b,0.625
98,PF00069,ref_cyt_b,0.500
99,PF00069,ref_cyt_b,0.500
100,PF00069,ref_cyt_b,0.867
101,PF00069,ref_cyt_b,0.444
102,PF00069,ref_cyt_b,0.579
103,PF00069,ref_cyt_b,0.750
104,PF00069,ref_cyt_b,0.684
105,PF00069,ref_cyt_b,0.667
106,PF00069,ref_cyt_b,0.714
107,PF00069,ref_cyt_b,0.625
108,PF00069,ref_cyt_b,0.778
109,PF00069,ref_cyt_b,0.333
110,PF00069,ref_cyt_b,0.647
111,PF00069,ref_cyt_b,0.667
112,PF00069,ref_cyt_b,0.889
113,PF00069,ref_cyt_b,0.500
114,PF00069,ref_cyt_b,0.789
115,PF00069,ref_cyt_b,0.733
116,PF00069,ref_cyt_b,0.750
117,PF00069,ref_cyt_b,0.444
118,PF00069,ref_cyt_b,0.700
119,PF00069,ref_cyt_b,0.778
120,PF00069,ref_cyt_b,0.882
